id,name,host_id,host_profile_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
24307196,Spacious Room/Downtown/Vegan Friendly,183311197,1468947236263312793,Patricia,,Niagara,43.64227,-79.4039,Private room,120,1,325,2026-05-21,3.31,1,12,38,STR-2011-GGBDVF
27529364,Upscale Home in a Central Location close to the Harbor,207649490,1469083275607980181,Aly,,Niagara,43.63868,-79.4141,Entire home/apt,269,28,127,2025-09-05,1.35,1,239,1,
27919138,3 Bedroom Home w/ Parking in Beautiful Queen West,210686732,1469099335437506166,Alpesh,,Niagara,43.6452,-79.40625,Entire home/apt,465,1,179,2026-04-28,1.91,1,312,21,STR-2107-JCJVHM
30244600,Bright 1BR Suite • King Bed • Breathtaking Views,227124776,1469209080457292466,Sarah,,Niagara,43.63783,-79.40598,Entire home/apt,227,28,71,2026-05-02,0.78,1,297,4,
13738928,Charming spacious open concept flat,9283725,1487880832134015972,Remi,,Niagara,43.64296,-79.40967,Entire home/apt,57,28,210,2021-11-30,1.76,1,84,0,
25566387,Cozy Private Room in Liberty Village,230968261,1487954213186209077,Tenzin,,Niagara,43.63941,-79.41475,Private room,148,3,89,2026-05-03,0.93,1,47,17,STR-2404-HGXHHW
15143572,Charming and Spacious Victorian House & Garden,3299475,1462625215922081103,Julie,,North Riverdale,43.66583,-79.35242,Entire home/apt,443,28,7,2017-11-19,0.06,1,365,0,STR-2012-FGXRVB
21113071,Riverdale sweet suite for two w. giant shower,29409602,1462648027020533731,Noelle,,North Riverdale,43.66856,-79.34864,Entire home/apt,219,4,59,2026-05-10,0.67,1,102,10,STR-2305-GSTBHT
6489917,1 Bed + Den Furnished Professional Apartment,33916643,1462663568245953557,Jen,,North Riverdale,43.67293,-79.35263,Entire home/apt,214,2,59,2026-04-06,0.45,1,58,5,STR-2603-FKFPPP
7114792,Prime Riverdale Home with 2 Car Parking,6407213,1462705659875475768,Daniel,,North Riverdale,43.67046162144824,-79.34834684,Entire home/apt,221,28,2,2025-08-30,0.1,1,178,1,
3139898,Trendy 2 level apt with rooftop deck & free Wi-Fi,15943061,1462974425237827125,Carol,,North Riverdale,43.66888,-79.3523,Entire home/apt,390,1,11,2026-05-18,0.08,1,288,3,STR-2602-HVLLBY
25032561,stylish apartment,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67705,-79.34784,Entire home/apt,97,28,109,2025-12-24,1.12,9,117,3,Exempt
20902125,stunning apartment,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67802,-79.34825,Entire home/apt,148,28,111,2025-10-05,1.07,9,361,1,Exempt
24992471,amazing 2 bedroom apartment,23310500,1465271510591887485,Theofanis,,North Riverdale,43.677,-79.34943,Entire home/apt,124,28,72,2025-07-31,0.74,9,334,1,Exempt
21170536,Fantastic apt,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67815,-79.34819,Entire home/apt,101,28,145,2025-01-05,1.39,9,261,0,Exempt
19621698,Great place,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67815,-79.34819,Entire home/apt,117,28,184,2026-02-16,1.7,9,241,5,Exempt
21185839,Bright bachelor,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67802,-79.34825,Entire home/apt,67,28,301,2026-05-21,2.86,9,176,2,Exempt
21800439,Spectacular whole house,23310500,1465271510591887485,Theofanis,,North Riverdale,43.67775,-79.34802,Entire home/apt,220,28,135,2026-04-26,1.32,9,334,3,Exempt
11699928,"Downtown Entire Top Floor Suite,Free Parking &WiFi",23459764,1465273575325061341,John,,North Riverdale,43.66817,-79.34655,Entire home/apt,134,30,66,2025-01-10,0.54,4,179,0,
10141898,"Downtown Main Floor apartment, Free WIFI & Parking",23459764,1465273575325061341,John,,North Riverdale,43.66899,-79.34515,Entire home/apt,110,30,60,2025-08-01,0.48,4,147,1,
7600332,Bright Riverdale Studio Apartment!,39850488,1465594893093663230,Evelyn,,North Riverdale,43.66949,-79.34718,Entire home/apt,99,28,20,2019-11-26,0.16,1,87,0,
20695972,Bright Apartment (Monthly Rental),43037706,1465639041481438305,James,,North Riverdale,43.66821,-79.35285,Entire home/apt,213,29,44,2026-05-11,0.43,3,360,3,
15307884,Light-Filled Riverdale Studio-Walk to TTC & Parks,43037706,1465639041481438305,James,,North Riverdale,43.66864,-79.35172,Entire home/apt,70,28,9,2018-02-01,0.08,3,155,0,
9576490,Charming Riverdale Studio (Monthly Rental),43037706,1465639041481438305,James,,North Riverdale,43.667,-79.34909,Entire home/apt,139,29,64,2026-04-30,0.51,3,269,4,
12955428,Cozy 2 Bedroom Suite on Withrow Park with Garden,71203654,1466880864463251528,Susan,,North Riverdale,43.674080243256611,-79.34656839,Entire home/apt,110,28,204,2026-05-02,1.68,1,141,4,
28271554,"Private suite in Riverdale, 5 mins to the subway",84696701,1467022603438417946,Sarah,,North Riverdale,43.67687,-79.34958,Private room,,1,710,2026-05-07,7.79,1,5,70,STR-2205-FKZPHB
14585169,centrally located Riverdale charm,90417381,1467093846719461069,Ann,,North Riverdale,43.67763,-79.34799,Private room,86,1,345,2026-05-22,2.91,1,227,52,STR-2012-FKRVHB
21161764,1 Queen bed studio in the treetops,106261347,1467288676852513020,Judit,,North Riverdale,43.66929,-79.35107,Private room,240,1,495,2026-05-03,4.74,3,241,39,STR-2012-GBKVHD
16251382,European-Styled Home with garden,106261347,1467288676852513020,Judit,,North Riverdale,43.66878695646303,-79.35093122,Private room,338,1,448,2026-04-27,3.96,3,233,44,STR-2012-GBKVHD
